X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
69.0,69.0,train,0.006041264101893172,58.43903265795806,0.6350657344140807
70.0,70.0,train,0.0057781345441325176,38.92774728334528,0.6186861751036103
71.0,71.0,train,0.00554103304114862,26.487563443481225,0.603298069435888
72.0,72.0,train,0.005468578276813213,20.959856046323456,0.5984729479454336
73.0,73.0,train,0.006041264101893172,58.43903265795806,0.6350657344140807
74.0,74.0,train,0.00573771474525788,37.20215964270243,0.6161057506564438
75.0,75.0,train,0.006017456089520536,54.82401279766586,0.633613121836794
76.0,76.0,train,0.0057781345441325176,38.92774728334528,0.6186861751036103
77.0,77.0,train,0.007223943225371824,87.93760234588481,0.700421396532962
78.0,78.0,train,0.006041264101893172,58.43903265795806,0.6350657344140807
79.0,79.0,train,0.005634188791038487,28.719977511153594,0.6094166705917852
80.0,80.0,train,0.006041264101893172,58.43903265795806,0.6350657344140807
81.0,81.0,train,0.006017456089520536,54.82401279766586,0.633613121836794
82.0,82.0,train,0.00527186214630891,15.017026967585352,0.58507460844757
83.0,83.0,train,0.0059296590213936155,47.048699632428644,0.6282061507072567
84.0,84.0,train,0.006507661517797434,72.75015231299848,0.6623888689736197
85.0,85.0,train,0.005572727488692361,28.156406032741376,0.6053904887551114
86.0,86.0,train,0.006507661517797434,72.75015231299848,0.6623888689736197
87.0,87.0,train,0.006507661517797434,72.75015231299848,0.6623888689736197
88.0,88.0,train,0.006507661517797434,72.75015231299848,0.6623888689736197
89.0,89.0,train,0.0056552396758539234,33.230165436121965,0.6107861977336303
90.0,90.0,train,0.00520863706863257,13.447839732971437,0.5806741155416606
91.0,91.0,train,0.009677687833961375,98.06445983602713,0.8010710017174187
92.0,92.0,train,0.005637897950818972,32.10056138040117,0.6096583301381219
93.0,93.0,train,0.005637897950818972,32.10056138040117,0.6096583301381219
94.0,94.0,train,0.00527186214630891,15.017026967585352,0.58507460844757
95.0,95.0,train,0.006078486154395242,65.09167457659417,0.6373252539079459
96.0,96.0,train,0.006507661517797434,72.75015231299848,0.6623888689736197
97.0,97.0,train,0.0056552396758539234,33.230165436121965,0.6107861977336303
98.0,98.0,train,0.007223943225371824,87.93760234588481,0.700421396532962
99.0,99.0,train,0.0058739877141465125,46.45568615367467,0.6247363749083006
100.0,100.0,train,0.006507661517797434,72.75015231299848,0.6623888689736197
101.0,101.0,train,0.006507661517797434,72.75015231299848,0.6623888689736197
102.0,102.0,train,0.0056552396758539234,33.230165436121965,0.6107861977336303
103.0,103.0,train,0.006507661517797434,72.75015231299848,0.6623888689736197
104.0,104.0,train,0.005448222214469665,18.234722633053813,0.5971068071868202
105.0,105.0,train,0.006065166310458469,64.48386115404685,0.6365183008792014
106.0,106.0,train,0.0057781345441325176,38.92774728334528,0.6186861751036103
107.0,107.0,train,0.006009540953680301,54.222636757703754,0.6331289113379855
108.0,108.0,train,0.006049221020130651,63.877523612611704,0.6355499294871088
109.0,109.0,train,0.005176741600335305,11.88979429558561,0.5784364976243332
110.0,110.0,train,0.005634188791038487,28.719977511153594,0.6094166705917852
111.0,111.0,train,0.006041264101893172,58.43903265795806,0.6350657344140807
112.0,112.0,train,0.00573771474525788,37.20215964270243,0.6161057506564438
113.0,113.0,train,0.00730041198875997,90.83473821014354,0.704219582418099
114.0,114.0,train,0.0056552396758539234,33.230165436121965,0.6107861977336303
115.0,115.0,train,0.006017456089520536,54.82401279766586,0.633613121836794
116.0,116.0,train,0.005468578276813213,20.959856046323456,0.5984729479454336
117.0,117.0,train,0.00730041198875997,90.83473821014354,0.704219582418099
118.0,118.0,train,0.0058739877141465125,46.45568615367467,0.6247363749083006
119.0,119.0,train,0.005634188791038487,28.719977511153594,0.6094166705917852
120.0,120.0,train,0.006065166310458469,64.48386115404685,0.6365183008792014
121.0,121.0,train,0.0051653977577294265,11.372024764131691,0.577637798185799
122.0,122.0,train,0.006482015480259677,70.15290127261918,0.6609410452438977
123.0,123.0,train,0.00554103304114862,26.487563443481225,0.603298069435888
124.0,124.0,train,0.005554420171791899,27.0428891018572,0.6041832175503604
125.0,125.0,train,0.006009540953680301,54.222636757703754,0.6331289113379855
126.0,126.0,train,0.0050844525815282905,10.855515768662693,0.571894500895412
