_id,species,taxonomicStatus,acceptedNameUsage,scientificNameAuthorship,kingdom,phylum,class,order,family,genus,specificEpithet,nameAccordingTo,taxVerifSource,sppInCol,recordsVisualizationPrivileges,speciesInCountry,validName,bmClass,invasive,endemic,iucn,cites,amenazaNacional,taxID,migratoryType,iucnSpeciesID,uploadUser,uploadDate
ObjectId(5925c6b8875e0e140c002d9f),Cerdocyon thous,pending,Cerdocyon thous,,Animalia,Chordata,Mammalia,Carnivora,Canidae,Cerdocyon,thous,"Ramírez-Chaves HE, Suárez Castro AF, de Mastozoología SC, Zurc D, Concha-Osbahr DC, Trujillo A, Noguera-Urbano EA, Pantoja-Peña GE, Rodríguez-Posada ME, González-Maya JF, Pérez-Torres J, Mantilla-Meluk H, López-Castañeda C, Velásquez-Valencia A, Zárrate-Charry D. (2017). Mamíferos de Colombia. Version 1.3. Sociedad Colombiana de Mastozoología.",Record author,false,0,true,true,mamiferos,false,false,LC,II,NE,982,,4248,jhan-uamoreno,2018-05-30T09:00:00.000Z
ObjectId(57ef9595875e0e1334005cff),Ceroxylon quindiuense,pending,Ceroxylon quindiuense,,Plantae,Magnoliophyta,Liliopsida,Arecales,Arecaceae,Ceroxylon,quindiuense,"Bernal R, Gradstein SR, Celis M. (eds.). (2015). Catálogo de plantas y líquenes de Colombia. Instituto de Ciencias Naturales, Universidad Nacional de Colombia, Bogotá.",Record author,true,0,true,true,plantas,false,false,VU,,EN,983,,38467,jhan-uamoreno,2018-05-30T09:00:00.000Z
ObjectId(57ef8cff875e0e1334005bf0),Ceroxylon vogelianum,pending,Ceroxylon vogelianum,(Engel) H.Wendl.,Plantae,Magnoliophyta,Liliopsida,Arecales,Arecaceae,Ceroxylon,vogelianum,"Bernal R, Gradstein SR, Celis M. (eds.). (2015). Catálogo de plantas y líquenes de Colombia. Instituto de Ciencias Naturales, Universidad Nacional de Colombia, Bogotá.",Record author,true,0,true,true,plantas,false,false,NE,,VU,984,,,jhan-uamoreno,2018-05-30T09:00:00.000Z
ObjectId(5925cb0a875e0e140c003974),Certhiaxis cinnamomeus,pending,Certhiaxis cinnamomeus,Gmelin.,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Certhiaxis,cinnamomeus,"Avendaño JE, Bohórquez CI, Roselli L, Arzuza-Buelvas D, Estela FA, Cuervo AM, Stiles FG, Renjifo LM. (2017). Lista de chequeo de las aves de Colombia: Una síntesis del estado de conocimiento desde Hilty & Brown (1986). Ornitología Colombiana. 16: eA01-1.",Record author,false,0,true,true,aves,false,false,LC,,NE,985,,22702471,jhan-uamoreno,2018-05-30T09:00:00.000Z
ObjectId(5925c5a8875e0e140c002ab7),Chaetocercus heliodor,pending,Chaetocercus heliodor,,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Chaetocercus,heliodor,"Avendaño JE, Bohórquez CI, Roselli L, Arzuza-Buelvas D, Estela FA, Cuervo AM, Stiles FG, Renjifo LM. (2017). Lista de chequeo de las aves de Colombia: Una síntesis del estado de conocimiento desde Hilty & Brown (1986). Ornitología Colombiana. 16: eA01-1.",Record author,false,0,true,true,aves,false,false,LC,II,NE,989,,22688268,jhan-uamoreno,2018-05-30T09:00:00.000Z
ObjectId(5925c5a9875e0e140c002aba),Chaetura cinereiventris,pending,Chaetura cinereiventris,,Animalia,Chordata,Aves,Apodiformes,Apodidae,Chaetura,cinereiventris,"Avendaño JE, Bohórquez CI, Roselli L, Arzuza-Buelvas D, Estela FA, Cuervo AM, Stiles FG, Renjifo LM. (2017). Lista de chequeo de las aves de Colombia: Una síntesis del estado de conocimiento desde Hilty & Brown (1986). Ornitología Colombiana. 16: eA01-1.",Record author,false,0,true,true,aves,false,false,LC,,NE,993,,22686701,jhan-uamoreno,2018-05-30T09:00:00.000Z
ObjectId(5925c7bf875e0e140c003067),Chamaecrista serpens,pending,Chamaecrista serpens,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Chamaecrista,serpens,"Bernal R, Gradstein SR, Celis M. (eds.). (2015). Catálogo de plantas y líquenes de Colombia. Instituto de Ciencias Naturales, Universidad Nacional de Colombia, Bogotá.",Record author,false,0,true,true,plantas,false,false,NE,,NE,1002,,,jhan-uamoreno,2018-05-30T09:00:00.000Z
ObjectId(5925c5e5875e0e140c002b64),Chamaedorea allenii,pending,Chamaedorea allenii,L.H.Bailey.,Plantae,Magnoliophyta,Liliopsida,Arecales,Arecaceae,Chamaedorea,allenii,"Bernal R, Gradstein SR, Celis M. (eds.). (2015). Catálogo de plantas y líquenes de Colombia. Instituto de Ciencias Naturales, Universidad Nacional de Colombia, Bogotá.",Record author,false,0,true,true,plantas,false,false,NE,,NE,1004,,,jhan-uamoreno,2018-05-30T09:00:00.000Z
ObjectId(5925c5e6875e0e140c002b67),Chamaedorea pauciflora,pending,Chamaedorea pauciflora,,Plantae,Magnoliophyta,Liliopsida,Arecales,Arecaceae,Chamaedorea,pauciflora,"Bernal R, Gradstein SR, Celis M. (eds.). (2015). Catálogo de plantas y líquenes de Colombia. Instituto de Ciencias Naturales, Universidad Nacional de Colombia, Bogotá.",Record author,false,0,true,true,plantas,false,false,NE,,NE,1007,,,jhan-uamoreno,2018-05-30T09:00:00.000Z
ObjectId(5925c5e7875e0e140c002b68),Chamaedorea pinnatifrons,pending,Chamaedorea pinnatifrons,(Jacq.) Oerst. ,Plantae,Magnoliophyta,Liliopsida,Arecales,Arecaceae,Chamaedorea,pinnatifrons,"Bernal R, Gradstein SR, Celis M. (eds.). (2015). Catálogo de plantas y líquenes de Colombia. Instituto de Ciencias Naturales, Universidad Nacional de Colombia, Bogotá.",Record author,false,0,true,true,plantas,false,false,LC,,NE,1008,,55953996,jhan-uamoreno,2018-05-30T09:00:00.000Z
ObjectId(5925c5e7875e0e140c002b69),Chamaedorea tepejilote,pending,Chamaedorea tepejilote,,Plantae,Magnoliophyta,Liliopsida,Arecales,Arecaceae,Chamaedorea,tepejilote,"Bernal R, Gradstein SR, Celis M. (eds.). (2015). Catálogo de plantas y líquenes de Colombia. Instituto de Ciencias Naturales, Universidad Nacional de Colombia, Bogotá.",Record author,false,0,true,true,plantas,false,false,NE,,NE,1009,,,jhan-uamoreno,2018-05-30T09:00:00.000Z
ObjectId(5925c5e7875e0e140c002b6a),Chamaedorea warscewiczii,pending,Chamaedorea warscewiczii,,Plantae,Magnoliophyta,Liliopsida,Arecales,Arecaceae,Chamaedorea,warscewiczii,"Bernal R, Gradstein SR, Celis M. (eds.). (2015). Catálogo de plantas y líquenes de Colombia. Instituto de Ciencias Naturales, Universidad Nacional de Colombia, Bogotá.",Record author,false,0,true,true,plantas,false,false,NE,,NE,1010,,,jhan-uamoreno,2018-05-30T09:00:00.000Z
ObjectId(5925c739875e0e140c002eff),Chamaepetes goudotii,pending,Chamaepetes goudotii,Lesson.,Animalia,Chordata,Aves,Galliformes,Cracidae,Chamaepetes,goudotii,"Avendaño JE, Bohórquez CI, Roselli L, Arzuza-Buelvas D, Estela FA, Cuervo AM, Stiles FG, Renjifo LM. (2017). Lista de chequeo de las aves de Colombia: Una síntesis del estado de conocimiento desde Hilty & Brown (1986). Ornitología Colombiana. 16: eA01-1.",Record author,false,0,true,true,aves,false,false,LC,,NE,1011,,22678446,jhan-uamoreno,2018-05-30T09:00:00.000Z
ObjectId(5925cb0a875e0e140c003975),Chamaeza campanisona,pending,Chamaeza campanisona,,Animalia,Chordata,Aves,Passeriformes,Formicariidae,Chamaeza,campanisona,"Avendaño JE, Bohórquez CI, Roselli L, Arzuza-Buelvas D, Estela FA, Cuervo AM, Stiles FG, Renjifo LM. (2017). Lista de chequeo de las aves de Colombia: Una síntesis del estado de conocimiento desde Hilty & Brown (1986). Ornitología Colombiana. 16: eA01-1.",Record author,false,0,true,true,aves,false,false,LC,,NE,1012,,22703212,jhan-uamoreno,2018-05-30T09:00:00.000Z
ObjectId(5925cb0b875e0e140c003976),Chamaeza turdina,pending,Chamaeza turdina,,Animalia,Chordata,Aves,Passeriformes,Formicariidae,Chamaeza,turdina,"Avendaño JE, Bohórquez CI, Roselli L, Arzuza-Buelvas D, Estela FA, Cuervo AM, Stiles FG, Renjifo LM. (2017). Lista de chequeo de las aves de Colombia: Una síntesis del estado de conocimiento desde Hilty & Brown (1986). Ornitología Colombiana. 16: eA01-1.",Record author,false,0,true,true,aves,false,false,LC,,NE,1013,,22703218,jhan-uamoreno,2018-05-30T09:00:00.000Z
ObjectId(5925c6c3875e0e140c002dbd),Chamissoa altissima,pending,Chamissoa altissima,(Jacq.) Kunth,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Chamissoa,altissima,"Bernal R, Gradstein SR, Celis M. (eds.). (2015). Catálogo de plantas y líquenes de Colombia. Instituto de Ciencias Naturales, Universidad Nacional de Colombia, Bogotá.",Record author,false,0,true,true,plantas,false,false,NE,,NE,1014,,,jhan-uamoreno,2018-05-30T09:00:00.000Z
ObjectId(5925c63b875e0e140c002c55),Chaptalia nutans,pending,Chaptalia nutans,,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Chaptalia,nutans,"Bernal R, Gradstein SR, Celis M. (eds.). (2015). Catálogo de plantas y líquenes de Colombia. Instituto de Ciencias Naturales, Universidad Nacional de Colombia, Bogotá.",Record author,false,0,true,true,plantas,false,false,NE,,NE,1015,,,jhan-uamoreno,2018-05-30T09:00:00.000Z
ObjectId(5925c6e9875e0e140c002e27),Charadrius collaris,pending,Charadrius collaris,,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,collaris,"Avendaño JE, Bohórquez CI, Roselli L, Arzuza-Buelvas D, Estela FA, Cuervo AM, Stiles FG, Renjifo LM. (2017). Lista de chequeo de las aves de Colombia: Una síntesis del estado de conocimiento desde Hilty & Brown (1986). Ornitología Colombiana. 16: eA01-1.",Record author,false,0,true,true,aves,false,false,LC,,NE,1016,,22693842,jhan-uamoreno,2018-05-30T09:00:00.000Z
ObjectId(5925c6e9875e0e140c002e28),Charadrius semipalmatus,pending,Charadrius semipalmatus,,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,semipalmatus,"Avendaño JE, Bohórquez CI, Roselli L, Arzuza-Buelvas D, Estela FA, Cuervo AM, Stiles FG, Renjifo LM. (2017). Lista de chequeo de las aves de Colombia: Una síntesis del estado de conocimiento desde Hilty & Brown (1986). Ornitología Colombiana. 16: eA01-1.",Record author,false,0,true,true,aves,false,false,LC,,NE,1017,Boreal,22693764,jhan-uamoreno,2018-05-30T09:00:00.000Z
ObjectId(5925cd7c875e0e140c003f6f),Cheilanthes lendigera,pending,Cheilanthes lendigera,,Plantae,Pteridophyta,Polypodiopsida,Polypodiales,Pteridaceae,Cheilanthes,lendigera,"Bernal R, Gradstein SR, Celis M. (eds.). (2015). Catálogo de plantas y líquenes de Colombia. Instituto de Ciencias Naturales, Universidad Nacional de Colombia, Bogotá.",Record author,false,0,true,true,plantas,false,false,NE,,NE,1021,,,jhan-uamoreno,2018-05-30T09:00:00.000Z
